Name,Lean,Money,Frequency
PAC,C,32459862,48
for,C,44965801,28
PAC,L,89404119,22
Fund,C,41882697,22
for,L,3706723,19
America,C,24114502,17
Action,C,38854173,13
Freedom,C,5977182,12
Super,C,5218265,12
America,L,3277124,11
American,C,108849218,9
Action,L,71082491,8
Future,C,159451769,7
Republican,C,3627862,7
Prosperity,C,5152392,7
Conservatives,C,7545008,6
of,L,3607971,6
Jobs,C,2719092,6
Cmte,C,2997275,6
Working,L,1366820,6
&,C,1015324,6
United,L,1255646,6
Our,C,162281474,5
Leadership,C,10032882,5
Liberty,C,5968501,5
Government,C,2794819,5
America's,C,4115226,5
the,L,2029580,5
Americans,C,1682636,5
Conservative,C,1063750,5
Citizens,C,1521976,5
the,C,1288120,5
&,L,590210,5
Strong,C,742016,5
Majority,L,68380427,4
Voices,L,8094807,4
Future,L,1546340,4
a,C,1164635,4
Vote,L,1035791,4
of,C,828996,4
American,L,471219,4
Progressive,L,410180,4
in,C,407753,4
USA,L,73449568,3
Now,C,8072390,3
Votes,L,5130208,3
Assn,X,3514532,3
of,X,4673225,3
Voters,L,2663766,3
Network,C,2753662,3
Coalition,C,3833651,3
Generation,C,2496883,3
for,X,1899197,3
Victory,C,3542859,3
New,C,1554496,3
Effective,L,1490945,3
National,C,2996251,3
Fund,L,2388810,3
Independent,L,1321739,3
Values,C,1039492,3
Integrity,L,643108,3
New,L,548570,3
Families,L,607172,3
Cmte,L,471936,3
Workers,L,691348,3
Empower,C,359178,3
Our,L,358030,3
USA,C,323177,3
We,L,97102,3
Campaign,L,99041,3
Americans,L,45752,3
Patriots,C,19606,3
Restore,C,143894755,2
Crossroads,C,105247085,2
Winning,C,17160844,2
Club,C,16589707,2
Growth,C,16644291,2
or,C,7857445,2
Never,C,7857445,2
Texas,C,5875357,2
Union,L,5450585,2
Make,C,3984324,2
Freedom,L,3628519,2
Foundation,C,1604896,2
American,X,1804261,2
Committee,L,1477727,2
an,L,1477727,2
Congressman,L,1477727,2
Right,C,1326718,2
First,C,1132294,2
Working,C,864975,2
Super,L,769343,2
Friends,C,789981,2
Majority,C,928920,2
Californians,L,531932,2
in,L,583312,2
Together,L,397700,2
Principles,C,393116,2
Protect,C,372732,2
Progress,L,341184,2
21st,L,359586,2
Century,L,359586,2
Indiana,C,324323,2
Opportunity,C,369201,2
Together,C,182120,2
Power,L,161954,2
Council,L,227540,2
Arizonans,C,112817,2
Leadership,L,108719,2
Values,L,72334,2
vs,C,71646,2
Strength,L,69210,2
Madison,C,54493,2
Brighter,C,55460,2
Forward,L,31826,2
Tea,C,27561,2
Party,C,27561,2
Secure,C,42000,2
Arizona,C,18000,2
Point,C,26617,2
Pro-Life,C,21240,2
Red,C,15500,2
People,L,3474,2
Priorities,L,65166859,1
House,L,30470122,1
Freedomworks,C,19636548,1
Ending,C,13250766,1
Spending,C,13250766,1
Congressional,C,9450223,1
Independence,L,8230454,1
Women,L,7749991,1
Vote!,L,7749991,1
AFL-CIO,L,6331541,1
Workers',L,6331541,1
Service,L,5310732,1
Employees,L,5310732,1
International,L,5310732,1
Planned,L,5039082,1
Parenthood,L,5039082,1
Independence,C,4921410,1
Virginia,C,4921410,1
YG,C,4722335,1
Us,C,3959824,1
Great,C,3959824,1
Again,C,3959824,1
Endorse,C,3580138,1
Florida,L,3269519,1
National,X,3163667,1
Realtors,X,3163667,1
Fair,L,2924617,1
Share,L,2924617,1
Destiny,C,2804234,1
League,L,2605809,1
Conservation,L,2605809,1
Integrity,C,2431748,1
Unity,C,2245078,1
Treasure,C,2063950,1
Coast,C,2063950,1
Next,C,1995295,1
Campaign,X,1816476,1
Primary,X,1816476,1
Accountability,X,1816476,1
Voice,C,1797419,1
Jewish,C,1761190,1
All,C,1725566,1
End,L,1716935,1
Gridlock,L,1716935,1
Cooperative,X,1481477,1
Physicians,X,1481477,1
Patriot,C,1417534,1
to,L,1377727,1
Elect,L,1377727,1
Valley,L,1377727,1
Senate,C,1331979,1
to,C,1320926,1
Life,C,1320926,1
Environment,L,1303396,1
Local,L,1266266,1
360,C,1250723,1
Horizon,C,1214582,1
Sierra,L,1194073,1
Club,L,1194073,1
Hardworking,C,1176548,1
Rethink,L,1158829,1
Shining,L,1055632,1
NEA,L,1001135,1
Advocacy,L,1001135,1
Freedom,c,990000,1
Fund,c,990000,1
North,c,990000,1
America,c,990000,1
Union,C,950000,1
Renewal,C,903500,1
Texans,L,869939,1
America's,L,869939,1
Us,L,866010,1
Women,C,843346,1
Speak,C,843346,1
Out,C,843346,1
Black,L,842760,1
Men,L,842760,1
CREDO,L,764343,1
Mobile,L,764343,1
Lunch,C,678556,1
Pail,C,678556,1
Republicans,C,678556,1
Michigan,C,645410,1
Campaign,C,582361,1
Foundations,C,535082,1
Faith,C,530816,1
Family,C,530816,1
Fight,C,518584,1
Dream,C,518584,1
Government,L,487811,1
Santa,C,427257,1
Rita,C,427257,1
Directions,L,413779,1
Patriot,L,404975,1
Stronger,L,397200,1
Ohio,L,385000,1
Schools,C,367974,1
Maine,L,359000,1
Hispanic,C,350482,1
Connecticut's,L,343785,1
Defenders,L,342827,1
Wildlife,L,342827,1
Washington,L,341107,1
Food,L,333313,1
Commercial,L,333313,1
Advcy,L,333313,1
Bridge,L,332994,1
Dental,X,322784,1
Jan,C,312089,1
AFGE,L,300000,1
CatholicVote.org,C,293335,1
"Jobs,",C,284710,1
Economy,C,255141,1
Massachusetts,C,255141,1
Saving,L,245422,1
